Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10u","CC1206",236.000000,-116.000000,270.000000,bottom
"C3","10u","CC1206",230.000000,-116.000000,270.000000,bottom
"C4","0.1u","CC0805",241.400000,-95.000000,0.000000,bottom
"C6","0.1u","CC0805",241.000000,-102.400000,180.000000,bottom
"C7","0.1u","CC0805",241.000000,-106.000000,180.000000,bottom
"C8","0.1u","CC0805",87.000000,-144.000000,180.000000,bottom
"C9","150p","CC0805",82.250000,-91.760000,0.000000,bottom
"C10","47p","CC0805",82.250000,-94.000000,0.000000,bottom
"C11","470p","CC0805",72.000000,-122.000000,180.000000,bottom
"C12","390p","CC0805",72.047500,-124.240000,180.000000,bottom
"C13","DNI","CC0805",72.000000,-126.500000,180.000000,bottom
"C14","1200p","CC0805",87.500000,-111.250000,0.000000,bottom
"C15","100p","CC0805",87.500000,-109.000000,0.000000,bottom
"C16","DNI","CC0805",87.500000,-106.750000,0.000000,bottom
"C17","1200p","CC0805",71.250000,-85.250000,180.000000,bottom
"C18","100p","CC0805",71.250000,-83.000000,180.000000,bottom
"C19","DNI","CC0805",71.250000,-80.750000,180.000000,bottom
"C20","470p","CC0805",82.500000,-70.500000,180.000000,bottom
"C21","390p","CC0805",82.500000,-72.750000,180.000000,bottom
"C22","DNI","CC0805",82.500000,-75.000000,180.000000,bottom
"C23","100p","CC0805",102.750000,-97.750000,180.000000,bottom
"C24","330p","CC0805",102.000000,-128.000000,180.000000,bottom
"C25","100p","CC0805",102.000000,-125.750000,180.000000,bottom
"C26","DNI","CC0805",102.000000,-123.500000,180.000000,bottom
"C27","330p","CC0805",100.250000,-109.500000,0.000000,bottom
"C28","330p","CC0805",100.250000,-107.250000,0.000000,bottom
"C29","DNI","CC0805",100.250000,-105.000000,0.000000,bottom
"C30","330p","CC0805",104.250000,-92.000000,180.000000,bottom
"C31","330p","CC0805",104.250000,-89.750000,180.000000,bottom
"C32","DNI","CC0805",104.250000,-87.500000,180.000000,bottom
"C33","330p","CC0805",101.000000,-74.000000,0.000000,bottom
"C34","100p","CC0805",101.000000,-71.750000,0.000000,bottom
"C35","DNI","CC0805",101.000000,-69.500000,0.000000,bottom
"C36","47p","CC0805",121.000000,-95.250000,0.000000,bottom
"C37","220p","CC0805",114.250000,-131.000000,180.000000,bottom
"C38","DNI","CC0805",114.250000,-128.750000,180.000000,bottom
"C39","DNI","CC0805",114.250000,-126.500000,180.000000,bottom
"C40","330p","CC0805",123.297500,-111.740000,180.000000,bottom
"C41","DNI","CC0805",123.250000,-109.500000,180.000000,bottom
"C42","DNI","CC0805",123.250000,-107.250000,180.000000,bottom
"C43","330p","CC0805",116.000000,-88.000000,180.000000,bottom
"C44","DNI","CC0805",116.000000,-85.750000,180.000000,bottom
"C45","DNI","CC0805",116.000000,-83.500000,180.000000,bottom
"C46","220p","CC0805",119.750000,-75.000000,180.000000,bottom
"C47","DNI","CC0805",119.750000,-72.750000,180.000000,bottom
"C48","DNI","CC0805",119.750000,-70.500000,180.000000,bottom
"C49","39p","CC0805",136.500000,-97.750000,180.000000,bottom
"C50","82p","CC0805",138.250000,-130.000000,180.000000,bottom
"C51","82p","CC0805",138.250000,-127.750000,180.000000,bottom
"C52","DNI","CC0805",138.250000,-125.500000,180.000000,bottom
"C53","150p","CC0805",135.000000,-111.750000,0.000000,bottom
"C54","100p","CC0805",135.000000,-109.500000,0.000000,bottom
"C55","DNI","CC0805",135.000000,-107.250000,0.000000,bottom
"C56","150p","CC0805",140.500000,-91.500000,0.000000,bottom
"C57","100p","CC0805",140.500000,-89.250000,0.000000,bottom
"C58","DNI","CC0805",140.500000,-87.000000,0.000000,bottom
"C59","82p","CC0805",135.750000,-73.750000,0.000000,bottom
"C60","82p","CC0805",135.750000,-71.500000,0.000000,bottom
"C61","DNI","CC0805",135.750000,-69.250000,0.000000,bottom
"C62","33p","CC0805",153.250000,-95.250000,0.000000,bottom
"C63","150p","CC0805",148.500000,-130.750000,180.000000,bottom
"C64","DNI","CC0805",148.452500,-128.490000,180.000000,bottom
"C65","DNI","CC0805",148.500000,-126.250000,180.000000,bottom
"C66","220p","CC0805",154.850000,-111.500000,180.000000,bottom
